,True-value,Prediction
0,0,0
1,0,1
2,1,0
3,1,1
4,0,0
5,1,0
6,0,0
7,1,1
8,0,1
9,0,0
10,1,1
11,1,0
12,1,0
13,1,0
14,1,0
15,1,1
16,0,0
17,1,0
18,1,1
19,0,1
20,0,0
21,1,1
22,1,1
23,0,0
24,0,0
25,0,0
26,0,0
27,1,1
28,1,0
29,0,1
30,0,1
31,1,1
32,1,1
33,1,0
34,1,1
35,0,0
36,0,1
37,0,0
38,0,1
39,0,0
40,0,0
41,0,1
42,0,1
43,0,1
44,0,0
45,0,1
46,1,1
47,1,1
48,1,1
49,0,1
50,0,1
51,1,0
52,1,1
53,0,1
54,1,1
55,1,0
56,0,0
57,0,1
58,0,0
59,0,1
60,0,0
61,0,1
62,1,1
63,0,1
64,1,0
65,0,0
66,0,0
67,1,0
68,1,1
69,0,1
70,0,0
71,0,1
72,1,1
73,1,1
74,0,1
75,0,1
76,0,1
77,0,1
78,0,1
79,0,0
80,0,0
81,1,0
82,0,0
83,1,1
84,0,0
85,1,0
86,1,1
87,1,1
88,1,1
89,0,0
90,0,1
91,0,0
92,0,0
93,1,0
94,1,0
95,1,1
96,0,0
97,1,0
98,1,0
99,0,1
100,1,0
101,0,0
102,1,0
103,1,1
104,0,1
105,1,0
106,1,1
107,1,1
108,1,1
109,0,1
110,0,0
111,1,1
112,0,0
113,0,0
114,0,0
115,0,1
116,0,1
117,1,0
118,0,1
119,1,0
120,1,1
121,1,1
122,1,1
123,1,0
124,0,0
125,0,1
126,0,1
127,0,1
128,1,1
129,0,1
130,0,1
131,0,1
132,1,0
133,1,1
134,0,0
135,0,1
136,1,1
137,0,0
138,0,0
139,1,0
140,1,1
141,0,1
142,0,1
143,1,0
144,0,1
145,1,0
146,1,0
147,1,1
148,1,1
149,1,0
150,1,0
151,1,1
152,0,1
153,0,0
154,1,0
155,1,1
156,0,0
157,1,1
158,0,0
159,0,0
160,0,1
161,1,0
162,0,1
163,1,1
164,0,0
165,0,0
166,0,0
167,1,1
168,0,0
169,0,0
170,1,0
171,1,1
172,1,0
173,0,0
174,1,0
175,1,1
176,0,0
177,0,1
178,1,1
179,1,1
180,0,1
181,0,0
182,0,1
183,1,0
184,0,0
185,0,1
186,1,0
187,1,1
188,1,0
189,0,0
190,0,0
191,1,1
192,1,0
193,0,0
194,1,1
195,0,0
196,1,0
197,0,0
198,0,1
199,0,0
