,True-Value,epoch-1,epoch-2,epoch-3,epoch-4
0,0,0,0,1,1
1,0,0,0,1,0
2,1,0,0,1,1
3,0,0,1,1,0
4,0,0,0,1,0
5,0,1,1,1,1
6,0,1,0,0,0
7,0,1,1,1,1
8,0,0,0,0,0
9,1,1,0,0,0
10,0,1,0,0,0
11,0,0,0,1,1
12,0,1,1,1,1
13,0,1,1,1,1
14,0,0,0,0,0
15,0,1,1,1,1
16,0,0,0,0,0
17,0,0,0,0,0
18,0,1,0,1,1
19,0,0,0,1,1
20,0,1,1,1,1
21,1,0,0,0,0
22,0,0,0,0,0
23,0,0,0,1,1
24,0,0,0,0,0
25,0,0,0,0,0
26,0,1,1,1,1
27,0,0,0,1,0
28,0,1,1,1,1
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,1,0,0
32,0,1,1,1,1
33,0,0,0,1,1
34,0,0,0,1,0
35,1,0,0,0,1
36,0,0,0,0,0
37,0,1,0,0,1
38,0,0,0,0,0
39,0,0,1,1,1
40,0,1,0,0,0
41,0,1,0,0,0
42,0,0,0,0,0
43,0,1,0,1,1
44,0,1,1,1,1
45,0,1,1,1,1
46,0,0,0,0,0
47,1,1,1,1,1
48,1,0,0,0,0
49,0,0,0,0,0
50,0,1,0,1,1
51,0,0,0,0,0
52,0,0,0,0,0
53,0,1,1,1,1
54,0,0,0,0,1
55,0,0,0,1,0
56,1,0,0,0,1
57,0,0,0,1,0
58,1,1,1,0,1
59,1,1,0,1,1
60,0,1,0,1,1
61,0,1,0,1,0
62,0,1,1,1,1
63,1,0,0,0,0
64,0,0,0,1,0
65,0,1,0,1,0
66,0,1,0,0,1
67,0,1,1,1,1
68,0,0,0,0,1
69,0,0,0,0,0
70,0,0,0,1,0
71,0,0,0,0,0
72,0,1,0,0,0
73,0,1,1,0,1
74,0,0,0,0,0
75,0,1,0,0,0
76,0,1,1,1,1
77,0,1,0,1,0
78,0,0,0,0,0
79,0,0,0,1,1
80,0,0,0,1,0
81,0,0,0,0,0
82,0,1,1,1,1
83,0,1,0,1,1
84,1,1,0,1,1
85,0,0,0,0,0
86,0,0,0,0,0
87,1,1,0,1,1
88,0,1,1,1,1
89,1,1,0,1,1
90,0,0,0,1,0
91,0,0,0,1,1
92,0,1,0,1,0
93,0,0,0,0,0
94,0,0,0,0,1
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,1,1
98,0,1,0,1,1
99,0,1,1,1,1
100,0,1,0,1,1
101,0,0,0,0,0
102,1,0,0,1,0
103,0,1,0,1,1
104,0,0,0,0,0
105,0,0,1,1,1
106,0,1,1,1,1
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,1,1,1,1
111,0,1,0,1,1
112,0,1,0,1,0
113,0,0,0,1,0
114,0,0,0,0,0
115,0,0,1,0,0
116,0,0,0,1,0
117,0,1,1,1,1
118,0,1,0,1,1
119,0,0,0,1,1
120,0,1,0,0,1
121,0,0,0,0,0
122,0,1,0,1,1
123,0,0,0,0,1
124,1,0,0,1,1
125,0,0,0,0,0
126,1,0,0,0,0
127,1,1,0,1,1
128,0,1,1,1,1
129,0,0,0,1,1
130,0,1,0,1,1
131,0,1,1,1,1
132,0,0,0,0,0
133,0,0,0,1,1
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,0,0,0
137,0,1,1,1,1
138,0,1,1,0,0
139,0,0,0,0,0
140,0,1,0,0,1
141,0,0,0,1,0
142,0,0,0,0,1
143,0,1,0,1,1
144,0,1,0,1,1
145,0,0,1,0,1
146,0,0,1,1,1
147,1,1,0,1,0
148,0,1,1,1,1
149,0,0,0,1,0
150,0,0,0,1,1
151,0,0,0,0,0
152,0,0,0,0,1
153,0,0,0,0,1
154,0,0,0,1,0
155,0,0,0,1,1
156,1,0,0,1,1
157,0,0,0,0,0
158,0,0,0,0,0
159,0,1,0,0,0
160,0,0,0,1,1
161,0,0,0,0,0
162,0,1,0,0,0
163,0,1,0,1,1
164,0,1,1,1,1
165,0,0,1,1,0
166,0,0,0,0,0
167,0,1,0,1,1
168,1,1,1,1,1
169,1,0,0,0,0
170,0,1,0,1,0
171,0,1,0,0,0
172,0,0,0,0,0
173,0,1,1,1,0
174,0,0,0,1,1
175,1,0,1,1,1
176,1,1,1,1,1
177,0,0,0,0,0
178,0,0,1,1,1
179,0,0,0,0,0
180,1,0,0,0,0
181,0,1,0,1,1
182,0,0,0,0,0
183,0,0,0,0,1
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,0,0,0,1,1
188,0,0,0,1,0
189,0,0,0,1,1
190,0,1,0,1,1
191,0,0,0,1,1
192,0,1,0,1,1
193,0,0,0,1,0
194,0,1,0,0,0
195,0,0,0,1,0
196,0,1,0,0,0
197,0,0,0,0,0
198,0,0,0,1,1
199,0,0,0,1,1
200,0,0,1,1,1
201,0,1,0,1,1
202,1,0,1,0,0
203,0,1,1,0,0
204,0,0,1,1,1
205,0,0,0,1,1
206,1,1,1,1,1
207,0,1,0,1,1
208,0,0,0,1,0
209,0,0,0,1,1
210,0,0,0,0,0
211,0,1,0,0,1
212,0,0,0,0,0
213,0,0,0,0,0
214,0,1,1,1,1
215,0,1,0,0,0
216,1,1,1,1,1
217,0,0,0,1,0
218,0,0,0,0,0
219,0,0,0,1,0
220,0,0,0,1,0
221,0,1,0,1,0
222,0,1,0,1,1
223,0,1,1,1,1
224,0,1,0,1,0
225,0,0,0,1,0
226,0,0,0,0,1
227,1,1,1,1,1
228,0,1,0,1,1
229,0,0,0,1,0
230,0,1,0,1,1
231,0,1,0,1,0
232,0,0,0,0,0
233,0,0,1,1,0
234,0,1,0,1,1
235,0,0,0,0,0
236,0,0,1,1,1
237,0,1,1,1,1
238,0,0,0,0,0
239,0,1,0,0,0
240,0,0,0,0,0
241,1,1,0,0,1
242,0,1,0,0,0
243,0,1,0,0,0
244,1,0,0,0,0
245,0,1,0,1,0
246,1,1,0,1,1
247,0,1,0,1,0
248,0,1,0,1,0
249,0,0,0,0,0
250,0,0,0,0,0
251,0,1,1,1,1
252,0,0,0,1,1
253,1,1,0,1,0
254,0,1,0,0,0
255,0,1,0,0,0
256,0,0,0,0,0
257,0,0,0,1,1
258,0,0,0,0,0
259,0,0,0,0,0
260,1,0,0,0,0
261,0,0,0,0,0
262,0,0,0,0,0
263,0,0,0,0,0
264,0,1,1,1,1
265,1,1,0,0,1
266,0,1,1,1,1
267,0,0,0,0,0
268,0,1,0,1,1
269,0,1,0,0,0
270,0,1,0,0,1
271,0,0,0,1,1
272,0,0,0,0,0
273,0,0,0,1,1
274,0,0,0,1,0
275,0,0,0,1,0
276,1,1,0,1,1
277,0,1,0,0,1
278,0,0,1,1,1
279,0,1,0,0,0
280,0,1,1,1,1
