,True-Value,Prediction
0,0,1
1,0,0
2,1,0
3,0,0
4,0,1
5,0,0
6,0,0
7,0,1
8,0,1
9,1,1
10,0,0
11,0,0
12,0,0
13,0,0
14,0,1
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,1
21,1,1
22,0,0
23,0,1
24,0,0
25,0,0
26,0,0
27,0,0
28,0,1
29,0,0
30,0,0
31,0,0
32,0,1
33,0,0
34,0,0
35,1,0
36,0,1
37,0,0
38,0,0
39,0,0
40,0,1
41,0,1
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,1,1
48,1,0
49,0,0
50,0,0
51,0,1
52,0,0
53,0,1
54,0,0
55,0,1
56,1,0
57,0,0
58,1,0
59,1,0
60,0,0
61,0,0
62,0,0
63,1,0
64,0,1
65,0,0
66,0,1
67,0,0
68,0,0
69,0,1
70,0,1
71,0,0
72,0,0
73,0,1
74,0,1
75,0,0
76,0,1
77,0,0
78,0,0
79,0,0
80,0,1
81,0,0
82,0,0
83,0,1
84,1,0
85,0,0
86,0,0
87,1,0
88,0,0
89,1,1
90,0,0
91,0,0
92,0,1
93,0,1
94,0,0
95,0,0
96,0,1
97,0,0
98,0,1
99,0,0
100,0,0
101,0,0
102,1,0
103,0,0
104,0,0
105,0,1
106,0,0
107,0,0
108,0,0
109,0,0
110,0,1
111,0,0
112,0,0
113,0,0
114,0,1
115,0,1
116,0,0
117,0,1
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,1,0
125,0,0
126,1,1
127,1,1
128,0,0
129,0,1
130,0,0
131,0,1
132,0,0
133,0,1
134,0,0
135,0,1
136,0,0
137,0,0
138,0,1
139,0,0
140,0,1
141,0,0
142,0,0
143,0,1
144,0,0
145,0,1
146,0,0
147,1,0
148,0,0
149,0,0
150,0,1
151,0,0
152,0,0
153,0,1
154,0,0
155,0,0
156,1,1
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,1
163,0,1
164,0,0
165,0,0
166,0,0
167,0,1
168,1,1
169,1,1
170,0,0
171,0,0
172,0,1
173,0,0
174,0,1
175,1,0
176,1,1
177,0,0
178,0,1
179,0,0
180,1,1
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,1
187,0,0
188,0,0
189,0,1
190,0,1
191,0,1
192,0,1
193,0,1
194,0,0
195,0,0
196,0,1
197,0,0
198,0,1
199,0,1
200,0,0
201,0,0
202,1,0
203,0,1
204,0,0
205,0,1
206,1,1
207,0,1
208,0,1
209,0,0
210,0,0
211,0,0
212,0,0
213,0,1
214,0,1
215,0,1
216,1,1
217,0,1
218,0,0
219,0,0
220,0,1
221,0,0
222,0,1
223,0,0
224,0,0
225,0,1
226,0,1
227,1,1
228,0,0
229,0,0
230,0,0
231,0,0
232,0,1
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,1
239,0,1
240,0,0
241,1,0
242,0,0
243,0,0
244,1,0
245,0,0
246,1,1
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,1
253,1,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,1
260,1,0
261,0,0
262,0,1
263,0,1
264,0,0
265,1,0
266,0,1
267,0,0
268,0,0
269,0,0
270,0,1
271,0,0
272,0,0
273,0,0
274,0,1
275,0,0
276,1,0
277,0,0
278,0,0
279,0,0
280,0,1
281,1,1
